Date;Open;High;Low;Close;Adj Close;Volume
16/02/2005;54150002;54290001;53799999;53919998;37921040;2767500
17/02/2005;54200001;54450001;53580002;53660000;37738182;4133800
18/02/2005;53669998;53669998;52549999;52779999;37119286;4805100
22/02/2005;52349998;52549999;52070000;52150002;36676224;3327100
23/02/2005;52799999;53110001;52560001;52720001;37077080;4072900
24/02/2005;53200001;53939999;52959999;53939999;37935089;3890600
25/02/2005;53599998;55029999;53330002;54990002;38673561;4502800
28/02/2005;54900002;55049999;54709999;54970001;38659481;4608600
01/03/2005;54980000;55230000;54259998;54490002;38321915;4279200
02/03/2005;54450001;55419998;54369999;55299999;38891571;4414100
03/03/2005;55450001;58070000;55320000;57419998;40382530;8889100
04/03/2005;57630001;58740002;56990002;58380001;41057686;6625600
07/03/2005;57520000;58419998;57250000;58299999;41001431;6256100
08/03/2005;58310001;58680000;57810001;58150002;40895935;4604500
09/03/2005;57849998;58049999;57439999;57750000;40614597;3505800
10/03/2005;57759998;58360001;57689999;57980000;40776360;3411000
11/03/2005;57849998;58220001;57200001;57490002;40431767;3275100
14/03/2005;57500000;57990002;57299999;57709999;40586475;3272300
15/03/2005;57849998;58939999;57630001;58480000;41128002;4775300
16/03/2005;58299999;58520000;56700001;56770000;39925400;4868300
17/03/2005;56750000;57310001;56709999;56889999;40009796;3839200
18/03/2005;57049999;57189999;56570000;57160000;40199677;5497600
21/03/2005;57000000;57200001;56580002;56840000;39974617;2053200
22/03/2005;57000000;57700001;56950001;57220001;40241875;3646500
23/03/2005;57230000;57400002;56619999;56849998;39981659;3041300
24/03/2005;57020000;57240002;56669998;56799999;39946499;1806400
28/03/2005;57299999;58130001;57259998;58099998;40860756;3104100
29/03/2005;57730000;58169998;57000000;57250000;40262970;5307200
30/03/2005;57250000;58799999;57250000;58790001;41346024;3652600
31/03/2005;58790001;58790001;57939999;58459999;41113941;3385300
01/04/2005;58549999;59119999;58299999;58779999;41338997;3853800
04/04/2005;58599998;58720001;58009998;58330002;41022514;2961100
05/04/2005;58320000;59450001;58049999;58330002;41022514;4414900
06/04/2005;58720001;58779999;58349998;58430000;41092857;2595600
07/04/2005;58450001;59139999;58299999;59009998;41500767;3491900
08/04/2005;59000000;59009998;58419998;58599998;41212410;2527400
11/04/2005;58750000;59810001;58750000;59400002;41775028;4269300
12/04/2005;59400002;59549999;57750000;58450001;41106918;6787500
13/04/2005;58650002;59049999;58450001;58669998;41261635;3825800
14/04/2005;59049999;59320000;58130001;58160000;40902950;3730000
15/04/2005;58049999;58490002;57000000;57000000;40087147;3339600
18/04/2005;56650002;57320000;56220001;56919998;40030880;3497700
19/04/2005;56930000;58360001;56619999;58090000;40853733;3570000
20/04/2005;58099998;58369999;57230000;57230000;40248909;3940900
21/04/2005;57849998;59080002;57720001;59080002;41549976;3354900
22/04/2005;58549999;58840000;57240002;57880001;40706039;3050700
25/04/2005;58799999;59759998;58799999;59580002;41901608;3492300
26/04/2005;59849998;60000000;58150002;59000000;41493710;5073300
27/04/2005;58490002;60099998;58250000;59660000;41957874;7408000
28/04/2005;60000000;60000000;58610001;58720001;41296795;4778800
29/04/2005;59029999;59599998;58259998;59520000;41859432;3698600
02/05/2005;59520000;59880001;58900002;59380001;41760979;4266800
03/05/2005;59650002;60400002;59230000;59869999;42105572;4469400
04/05/2005;59750000;60480000;59639999;60279999;42393913;3287500
05/05/2005;60099998;60380001;59590000;59740002;42014145;3144000
06/05/2005;60180000;61250000;60130001;61009998;42907322;3279200
09/05/2005;60750000;60959999;60160000;60560001;42590843;3871300
10/05/2005;60560001;62500000;60500000;61040001;42928421;9135400
11/05/2005;61049999;61380001;59509998;60400002;42653023;5590900
12/05/2005;60529999;61250000;60259998;60490002;42716572;5362500
13/05/2005;60889999;60889999;58619999;59500000;42017448;4180500
16/05/2005;59700001;60490002;59529999;60410000;42660069;2244300
17/05/2005;60500000;60970001;60220001;60910000;43013153;3440300
18/05/2005;61169998;62509998;61169998;61689999;43563965;4602800
19/05/2005;62049999;62270000;60980000;61349998;43323875;3531700
20/05/2005;61750000;62240002;61509998;61900002;43712273;3716900
23/05/2005;61950001;62119999;61540001;61639999;43528660;3197700
24/05/2005;61400002;62590000;61220001;62250000;43959423;3656800
25/05/2005;61730000;61799999;61119999;61450001;43394493;3101500
26/05/2005;62049999;63000000;61950001;62990002;44481998;2998900
27/05/2005;63000000;63400002;62820000;63020000;44503181;2591500
31/05/2005;63009998;64199997;62910000;63900002;45124630;4241200
01/06/2005;63950001;64050003;63349998;63799999;45053993;3613800
02/06/2005;63799999;64500000;63509998;64379997;45463585;2667400
03/06/2005;64160004;64989998;64099998;64660004;45661312;4526900
06/06/2005;64879997;65760002;64639999;65550003;46289822;4055000
07/06/2005;65580002;66089996;65279999;65279999;46099140;6010100
08/06/2005;65070000;65449997;64239998;64470001;45527149;4191000
09/06/2005;64480003;65190002;64040001;65110001;45979095;3461400
10/06/2005;65050003;65059998;64110001;64650002;45654255;3192300
13/06/2005;65050003;65349998;63919998;64629997;45640137;5477400
14/06/2005;64680000;64800003;62849998;62930000;44439629;6143900
15/06/2005;63400002;64410004;63209999;64410004;45484776;3944800
16/06/2005;64250000;64260002;63650002;63689999;44976311;2825700
17/06/2005;64150002;64779999;63700001;64620003;45633060;4531600
20/06/2005;63900002;64099998;63580002;63669998;44962193;2991500
21/06/2005;63400002;63410000;62689999;62779999;44333698;4041000
22/06/2005;62400002;63369999;62200001;63130001;44580860;3498200
23/06/2005;63139999;63189999;61790001;61860001;43684017;2894100
24/06/2005;61599998;61910000;60500000;60590000;42787174;4432100
27/06/2005;60349998;61810001;59700001;61759998;43613407;6830500
28/06/2005;62099998;62450001;61270000;62450001;44100681;3937100
29/06/2005;62450001;62630001;61400002;61669998;43549850;3215800
30/06/2005;65500000;66849998;64300003;66000000;46607597;17247000
01/07/2005;65779999;65959999;64440002;64680000;45675438;6861500
05/07/2005;64300003;65440002;64169998;65419998;46198009;3317300
06/07/2005;65500000;66110001;64199997;64290001;45400021;3954300
07/07/2005;63980000;65180000;63450001;65180000;46028530;5567400
08/07/2005;65070000;65239998;64510002;65070000;45950848;3715300
11/07/2005;65250000;65489998;64779999;64970001;45880226;2037100
12/07/2005;64959999;64970001;64150002;64300003;45407082;2920800
13/07/2005;64300003;64889999;64199997;64580002;45604832;3112700
14/07/2005;64949997;65230003;64370003;64580002;45604832;2257000
15/07/2005;64580002;64879997;64230003;64750000;45724873;2023300
18/07/2005;64750000;64860001;64250000;64739998;45717804;1902500
19/07/2005;65000000;65500000;64629997;64889999;45823730;2226400
20/07/2005;64889999;66279999;64629997;66080002;46664097;2610000
21/07/2005;66180000;66309998;65690002;65709999;46402798;4864100
22/07/2005;65400002;66290001;65260002;66199997;46748814;2629100
25/07/2005;66000000;66790001;65980003;66050003;46642902;2962700
26/07/2005;66610001;67120003;66129997;66349998;46854748;4117700
27/07/2005;67699997;67949997;66570000;66699997;47101902;5188800
28/07/2005;66709999;66769997;65599998;66000000;46607597;4947300
29/07/2005;66209999;66820000;66010002;66010002;46614662;3560000
01/08/2005;66300003;66489998;65639999;65750000;46431046;2367900
02/08/2005;65750000;66400002;65690002;66330002;46840614;2318300
03/08/2005;65980003;66680000;65849998;66650002;47066605;2238100
04/08/2005;66639999;66769997;66010002;66269997;46798252;2651100
05/08/2005;66129997;66519997;66010002;66190002;46741772;2142300
08/08/2005;66300003;66500000;65639999;65989998;46600533;2242400
09/08/2005;66300003;67489998;65970001;67129997;47405560;3282400
10/08/2005;67160004;67320000;65599998;65959999;46753448;3096800
11/08/2005;66110001;67309998;66040001;67309998;47710342;3112400
12/08/2005;67309998;67500000;66099998;66540001;47164570;2823000
15/08/2005;66400002;67680000;66349998;67459999;47816681;2160100
16/08/2005;67400002;67720001;66269997;66269997;46973190;3280800
17/08/2005;66389999;67580002;66379997;67019997;47504791;2432800
18/08/2005;66940002;67180000;66209999;66629997;47228355;2912600
19/08/2005;66699997;67449997;66519997;67150002;47596947;2281600
22/08/2005;67389999;68379997;67339996;67790001;48050587;3433000
23/08/2005;67650002;67900002;67150002;67430000;47795433;2310200
24/08/2005;67300003;67949997;67080002;67129997;47582767;3524400
25/08/2005;67129997;67400002;67050003;67209999;47639488;2529100
26/08/2005;67150002;67150002;66089996;66309998;47001537;2822300
29/08/2005;66099998;67660004;66070000;67580002;47901749;2974400
30/08/2005;67300003;67550003;66449997;66739998;47306324;3158600
31/08/2005;66900002;67099998;66040001;67019997;47504791;3137700
01/09/2005;66650002;66849998;65870003;65989998;46774731;4073800
02/09/2005;64870003;64930000;63950001;64339996;45605164;6810400
06/09/2005;64370003;65449997;64250000;65029999;46094261;4783600
07/09/2005;64800003;64820000;64000000;64500000;45718586;4501900
